"FDID","Fire dept name","HQ addr1","HQ addr2","HQ city","HQ state","HQ zip","Mail addr1","Mail addr2","Mail PO box","Mail city","Mail state","Mail zip","HQ phone","HQ fax","County","Dept Type","Organization Type","Website","Number Of Stations","Active Firefighters - Career","Active Firefighters - Volunteer","Active Firefighters - Paid per Call","Non-Firefighting - Civilian","Non-Firefighting - Volunteer","Primary agency for emergency mgmt"
"23645","East Casey County Volunteer Fire Department","2480 W KY HWY 198 HWY SW","PO Box 10","Middleburg","KY","42541","2480 W KY HWY 198 HWY SW",,"PO Box 10","Middleburg","KY","42541","606-787-7201",,"CASEY                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","14","0","0","0",
"10046","East Fork Volunteer Fire Department","19600 State Route 3",,"Rush","KY","41168-9220","19600 State Route 3",,"","Rush","KY","41168-9220","606-928-6530","606-929-9386","BOYD                     ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","38","0","0","0",
"B0565","East Golden Pond Volunteer Fire Department","4286 Canton RD",,"Cadiz","KY","42211",,,"PO Box 948","Cadiz","KY","42211-0948","270-924-3050","270-924-3050","TRIGG                    ","Volunteer","Local (includes career, combination, and volunteer)",,"3","0","28","0","0","0","false"
"43692","East Grayson County Fire Department","128 Wooldridge ST",,"Big Clifty","KY","42712","128 Wooldridge ST",,"","Big Clifty","KY","42712","270-242-6918","270-242-0060","GRAYSON                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","15","0","0","0",
"79403","East Marshall Fire Department","7584 Moors Camp HWY",,"Gilbertsville","KY","42044",,,"PO Box 274","Calvert City","KY","42029-0274","270-362-8532","270-362-3337","MARSHALL                 ","Volunteer","Local (includes career, combination, and volunteer)",,"3","0","33","0","0","2","false"
"19084","Eastern Campbell Volunteer Fire Department","Box 45 Smith RD RR #2","PO Box 45","California","KY","41007","Box 45 Smith RD RR #2",,"PO Box 45","California","KY","41007","859-635-4196","859-635-3949","CAMPBELL                 ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","20","0","0","10",
"56282","Eastwood Fire Department","16010 Shelbyville RD","PO Box 122","Louisville","KY","40245",,,"PO Box 122","Louisville","KY","40201-0122","502-245-1400","502-253-1813","JEFFERSON                ","Mostly volunteer","Local (includes career, combination, and volunteer)","https://eastwoodfire.com/","2","22","17","30","1","0","true"
"56283","Edgewood Fire District","1127 Orchard AVE",,"Louisville","KY","40213","1127 Orchard AVE",,"","Louisville","KY","40213","502-964-6011","502-969-1382","JEFFERSON                ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","4","0","18","0","6",
"59326","Edgewood Fire EMS","385 Dudley PIKE",,"Edgewood","KY","41017-2670","385 Dudley PIKE",,"","Edgewood","KY","41017-2670","859-341-2628","859-578-3092","KENTON                   ","Mostly volunteer","Local (includes career, combination, and volunteer)","https://www.edgewoodkyfire.org/","1","9","50","28","0","9","true"
"85450","Edmonton Volunteer Fire & Rescue","1412 West Stocton ST",,"Edmonton","KY","42129",,,"PO Box 186","Edmonton","KY","42129","270-432-3771","270-432-5787","METCALFE                 ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","37","0","0","0",
"82443","Ekron Fire & Rescue Department","201 5TH ST","PO Box 99","Ekron","KY","40117-8099",,,"PO Box 99","Ekron","KY","40117-0099","270-828-8338","270-828-5495","MEADE                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","30","0","0","0",
"A3803","Eli Volunteer Fire & Rescue Department","318 ParksRidge RD",,"Russell Springs","KY","42642","318 ParksRidge RD",,"","Russell Springs","KY","42642","270-866-2100",,"RUSSELL                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","21","0","0","15",
"47212","Elizabethtown Fire Department","380 Ring RD",,"Elizabethtown","KY","42701-6776","380 Ring RD",,"","Elizabethtown","KY","42701-6776","270-765-2122","270-769-0589","HARDIN                   ","Career","Local (includes career, combination, and volunteer)","https://etownfd.org/","3","50","0","0","4","0","true"
"A2744","Elliottville Fire Department","PO Box 161",,"Elliottville","KY","40317",,,"PO Box 161","Elliottville","KY","40317","606-784-1696",,"ROWAN                    ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","19","19","0","0","0",
"59315","Elsmere Fire District","401 Garvey AVE",,"Elsmere","KY","41018",,,"PO Box 18451","Elsmere","KY","41018-0451","859-342-7505","859-342-2292","KENTON                   ","Mostly volunteer","Local (includes career, combination, and volunteer)","https://elsmerefd.com/","1","12","10","25","0","0","true"
"79931","Elva, New Harmony, Oak Level (E N O) Fire Department","356 Weatherwood RD",,"Benton","KY","42025",,,"PO Box 182","Benton","KY","42025","270-851-4000","270-851-4000","MARSHALL                 ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","22","0","0","0",
"52257","Eminence Fire Department","51 Depot AVE","PO Box 1","Eminence","KY","40019",,,"PO Box 1","Eminence","KY","40019-0001","502-845-7600",,"HENRY                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","16","0","0","5",
"B7843","Emlyn Volunteer Fire Department","3254 HWY 25W S","PO Box 13","Emlyn","KY","40730",,,"PO Box 13","Emlyn","KY","40730-0013","606-549-6017",,"WHITLEY                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","23","0","0","0",
"59316","Erlanger Fire and EMS Department","505 Commonwealth AVE",,"Erlanger","KY","41018-1223","505 Commonwealth AVE",,"","Erlanger","KY","41018-1223","859-727-2488","859-727-7956","KENTON                   ","Career","Local (includes career, combination, and volunteer)","https://www.ci.erlanger.ky.us/","2","28","0","0","1","0","true"
"33152","Estill County Fire Department","202 Whispering Woods RD",,"Irvine","KY","40336-7675","202 Whispering Woods RD",,"","Irvine","KY","40336-7675","606-723-2661","606-726-9655","ESTILL                   ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","2","22","0","0","0","false"
"00522","Eubank Volunteer Fire Department","375 Bulldog ST",,"Eubank","KY","42567",,,"PO Box 325","Eubank","KY","42567-0325","606-379-2812","606-379-0427","PULASKI                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","18","0","0","3","true"
"23972","Evona Volunteer Fire Department","467 Sloan Fork RD",,"Liberty","KY","42539-8055","467 Sloan Fork RD",,"","LIBERTY","KY","42539-8055","606-787-2677","606-787-2677","CASEY                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","13","0","0","0","false"
"35158","Ewing Volunteer Fire Department, Inc.","1491 Ewing RD","PO Box 192","Ewing","KY","41039",,,"PO Box 192","Ewing","KY","41039-0192","606-267-3701","606-267-3701","FLEMING                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","27","0","0","0","false"
"44917","Exie Volunteer Fire Department","US68 W Edmonton  RD E","PO Box 8629","Greensburg","KY","42743","US68 W Edmonton  RD E","PO Box 8629","","Greensburg","KY","42743","270-932-4999",,"GREEN                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","15","0","0","0",
"56284","Fairdale Fire Protection District","10015 Mitchel Hill RD",,"Fairdale","KY","40118",,,"PO Box 66","Fairdale","KY","40118-0066","502-366-0122","502-375-0175","JEFFERSON                ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"2","15","19","19","0","1","false"
"24122","Fairview Volunteer Fire Department","PO Box 158",,"Fairview","KY","42221-0158",,,"PO Box 158","Fairview","KY","42221-0158","000-000-0000",,"CHRISTIAN                ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","8","0","0","20",
"43197","Falls of Rough Volunteer Fire Department","123 Green Farm RD",,"Falls of Rough","KY","40119-6353",,,"PO Box 189","Falls of Rough","KY","40119-0189","270-257-8200",,"GRAYSON                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","17","0","0","7",
"64349","Fallsburg Volunteer Fire Department","RR 4",,"Louisa","KY","41230","RR 4",,"","Louisa","KY","41230","606-686-2222",,"LAWRENCE                 ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","25","0","0","3",
"A2861","Farmers Volunteer Fire Department","295 Old US 60 W",,"Morehead","KY","40351",,,"PO Box 123","Farmers","KY","40319-0123","606-784-8914",,"ROWAN                    ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","24","0","0","0",
"42733","Farmington Volunteer Fire Department","35 Durbin ST","PO Box 66","Farmington","KY","42040","35 Durbin ST",,"PO Box 66","Farmington","KY","42040","270-345-2215","270-345-2215","GRAVES                   ","Volunteer","Local (includes career, combination, and volunteer)",,"3","0","23","0","0","10",
"00754","Faubush Tri-County Fire Department","5600 HWY 196",,"Faubush","KY","42544",,,"PO Box 379","Nancy","KY","42544-0379","606-871-7149","606-871-7149","PULASKI                  ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","24","0","0","0","false"
"00526","Ferguson Fire Department","808 Newton ST","PO Box 52","Ferguson","KY","42533-0052","808 Newton ST",,"PO Box 52","Ferguson","KY","42533-0052","606-679-6927","606-679-6927","PULASKI                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","21","0","0","0",
"56285","Fern Creek Fire Protection District","6200 Bardstown RD","PO Box 91025","Louisville","KY","40291",,,"PO Box 91025","Louisville","KY","40291-0025","502-239-7075","502-239-1872","JEFFERSON                ","Mostly volunteer","Local (includes career, combination, and volunteer)","https://www.ferncreekfire.com/","4","17","40","0","1","0","false"
"81853","Fernleaf Highland Volunteer Fire Department","3334 Slack PIKE",,"Maysville","KY","41056","3334 Slack PIKE",,"","Maysville","KY","41056","606-883-3312","606-735-3331","MASON                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","13","0","0","0",
"16825","Fifth District Rural Volunteer Fire Department","6810 Caneyville RD",,"Morgantown","KY","42261","6810 Caneyville RD",,"","Morgantown","KY","42261-9541","270-526-3400","270-526-6021","BUTLER                   ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","24","0","0","0","false"
"19083","Fire Department of Bellevue-Dayton","514 6TH AVE",,"Dayton","KY","41074-1142","514 6TH AVE",,"","Dayton","KY","41074-1142","859-261-0083","859-261-2578","CAMPBELL                 ","Mostly career","Local (includes career, combination, and volunteer)","https://fdbd.org/","1","16","1","0","2","0","false"
"68712","Firebrick Volunteer Fire Department","RT 8","PO Box 596","Firebrick","KY","41137","RT 8",,"PO Box 596","Firebrick","KY","41137","606-932-6522",,"LEWIS                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","12","0","0","5",
"60641","Fisty Dwarf Volunteer Fire & Rescue","1736 Trace Branch RD",,"Fisty","KY","41743",,,"PO Box 37","Fisty","KY","41743-0037","606-251-3700","606-251-3700","KNOTT                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","20","0","0","1",
"82437","Flaherty Volunteer Fire Department., Inc.","3895 Flaherty RD",,"Vine Grove","KY","40175-6467","3895 Flaherty RD",,"","Vine Grove","KY","40175-6467","270-828-2121","270-828-3200","MEADE                    ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","32","0","0","10","true"
"45202","Flatwoods Volunteer Fire Department","2513 Reed ST STE 2",,"Flatwood","KY","41139","804 Powell LN",,"","Flatwoods","KY","41139-1750","606-836-7177","606-833-5498","GREENUP                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","34","0","0","6","true"
"35159","Flemingsburg Volunteer Fire Department","S Main Cross ST",,"Flemingsburg","KY","41041",,,"PO Box 272","Flemingsburg","KY","41041","606-845-5371",,"FLEMING                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","23","0","0","0",
"86903","Flippin Volunteer Fire Department","546 Flippin-Lamb RD",,"Tompkinsville","KY","42167","546 Flippin-Lamb RD",,"","Tompkinsville","KY","42167","270-434-2000","270-434-2000","MONROE                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","23","0","0","11",
"08028","Florence Fire/EMS","Florence Fire/EMS Weaver Station (1)","1152 Weaver RD","Florence","KY","41042-8949","1152 Weaver RD",,"","Florence","KY","41042-8949","859-647-5660","859-647-5670","BOONE                    ","Mostly career","Local (includes career, combination, and volunteer)","https://www.florence-ky.gov/","3","59","16","0","2","0","false"
"26772","Fogertown Fire Department, Inc.","9988 Highway 638",,"Manchester","KY","40962-7243","9988 Highway 638",,"","Manchester","KY","40962-7243","606-658-6082",,"CLAY                     ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","18","0","0","0","true"
"92478","Fordsville Fire Department","160 W Main ST","PO Box 177","Fordsville","KY","42343",,,"PO Box 177","Fordsville","KY","42343-0177","270-276-3336",,"OHIO                     ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","19","0","0","0",
"A5002","Fort Campbell Fire Department","1747 Kentucky AVE",,"Fort Campbell","KY","42223-5332","1747 Kentucky AVE",,"","Fort Campbell","KY","42223-5332","270-798-7171",,"CHRISTIAN                ","Career","Federal government (Department of Defense)",,"5","84","0","0","0","0","true"
"AE008","Fort Knox Fire Department","469 Spearhead Division AVE",,"Fort Knox","KY","40121","469 Spearhead Division AVE",,"","Fort Knox","KY","40121","502-624-1876","502-624-1391","HARDIN                   ","Career","Federal government (Department of Defense)",,"3","53","0","0","0","0","true"
"59317","Fort Mitchell Fire Department","2355 Dixie HWY","PO Box 17157","Fort Mitchell","KY","41017",,,"PO Box 17157","Fort Mitchell","KY","41017-0157","859-331-1267","859-331-6102","KENTON                   ","Mostly volunteer","Local (includes career, combination, and volunteer)","https://www.fortmitchell.com/government/city-departments/fireems/","1","5","40","19","0","0","false"
"19085","Fort Thomas Fire Department","130 N Fort Thomas AVE",,"Fort Thomas","KY","41075-1519","130 N Fort Thomas AVE",,"","Fort  Thomas","KY","41075-1519","859-441-8393","859-441-6796","CAMPBELL                 ","Career","Local (includes career, combination, and volunteer)","https://www.ftthomas.org/Fire/Index.html","1","19","0","0","1","0","false"
"59318","Fort Wright Fire Department","409 Kyles LN",,"Covington","KY","41011","409 Kyles LN",,"","Covington","KY","41011-3743","859-331-2600","859-331-0454","KENTON                   ","Mostly volunteer","Local (includes career, combination, and volunteer)","https://www.fortwright.com/","1","5","45","8","0","10","true"
"86452","Fountain Run Volunteer Fire Department","196 Main ST","PO Box 37","Fountain Run","KY","42133",,,"PO Box 37","Fountain Run","KY","42133-0037","270-434-3544","270-434-2211","MONROE                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","14","0","0","0",
"16834","Fourth District Volunteer Fire Department","8696 Brownsville RD",,"Morgantown","KY","42261",,,"PO Box 87","Jetson","KY","42252","270-526-2990","270-526-3119","BUTLER                   ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","24","0","0","5",
"37170","Frankfort Fire & EMS","300 W 2ND ST",,"Frankfort","KY","40601-2652","300 W 2ND ST",,"","Frankfort","KY","40601-2652","502-875-8511","502-875-8533","FRANKLIN                 ","Career","Local (includes career, combination, and volunteer)",,"4","85","0","0","3","0","false"
"37172","Franklin County Fire Department","106 Darby Shire CIR",,"Frankfort","KY","40601-2741","106 Darby Shire CIR",,"","Frankfort","KY","40601-2741","502-695-1617","502-695-4457","FRANKLIN                 ","Career","Local (includes career, combination, and volunteer)",,"6","53","0","0","1","0","true"
"A6551","Franklin Fire Department","401 Macedonia RD",,"Franklin","KY","42134","401 Macedonia RD",,"","Franklin","KY","42134","270-586-7427","270-586-4342","SIMPSON                  ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","3","0","18","0","0",
"A6925","Franklin-Simpson Fire Rescue","PO Box 242","County Courthouse - 1 Public Square","Franklin","KY","42135-0242",,,"PO Box 242","Franklin","KY","42135-0242","270-586-7174","270-598-8914","SIMPSON                  ","Mostly volunteer","Local (includes career, combination, and volunteer)","https://www.franklinky.org/fire-department","6","5","25","25","0","0","false"
"17637","Fredonia Fire and Rescue","Shelby ST",,"Fredonia","KY","42411",,,"PO Box 173","Fredonia","KY","42411","270-545-3270",,"CALDWELL                 ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","15","0","0","0",
"38174","Fulton Fire Department","340 Browder ST",,"Fulton","KY","42041",,,"PO Box 1350","Fulton","KY","42041-0350","270-472-1422","270-472-1914","FULTON                   ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","2","0","19","0","0","false"
"39176","Gallatin County Volunteer Fire Department, Inc.","402 Main Cross",,"Warsaw","KY","41095","402 Main Cross",,"PO Box 706","Warsaw","KY","41095","859-567-2719","859-567-4719","GALLATIN                 ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","1","45","0","0","15",
"86453","Gameliel Volunteer Fire Department","122 Holland ST","PO Box 160","Gamaliel","KY","42167",,,"PO Box 160","Gamaliel","KY","42140-0160","270-457-3112","270-457-3113","MONROE                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","20","0","0","0",
"40181","Garrard County Fire District 1","208 Industry RD","PO Box 578","Lancaster","KY","40444-0578","208 Industry RD",,"PO Box 578","Lancaster","KY","40444-0578","859-792-4840",,"GARRARD                  ","Volunteer","Local (includes career, combination, and volunteer)",,"3","0","0","24","0","0",
"36650","Garrett Area Volunteer Fire Department","638 Stonecoal RD",,"Garrett","KY","41630",,,"PO Box 62","Garrett","KY","41630-0062","606-358-3473",,"FLOYD                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","32","0","0","1","true"
"68363","Garrison Volunteer Fire Department","RT 8","PO Box 20","Garrison","KY","41141-0020","RT 8",,"PO Box 20","Garrison","KY","41141-0020","606-757-4269","606-757-3049","LEWIS                    ","Career","Local (includes career, combination, and volunteer)",,"1","18","0","0","0","0",
"A4540","Georgetown Fire & Rescue","101 Airport RD",,"Georgetown","KY","40324-1499","101 Airport RD",,"","Georgetown","KY","40324-1499","502-863-7835","502-867-6997","SCOTT                    ","Career","Local (includes career, combination, and volunteer)",,"3","55","0","0","1","0","false"
"79402","Gilbertsville Fire Department","Kentucky Dam Village State Park","455 Village Green Circle","Gilbertsville","KY","42044",,,"PO Box 213","Gilbertsville","KY","42044-0213","270-362-7061","270-362-7061","MARSHALL                 ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","22","0","0","0","false"
"05015","Glasgow Fire Department","203 S Broadway ST",,"Glasgow","KY","42141","203 S Broadway ST",,"","Glasgow","KY","42141","270-651-5170","270-651-6980","BARREN                   ","Career","Local (includes career, combination, and volunteer)",,"2","39","0","0","9","0",
"39177","Glencoe Fire Protection District, Inc","110 N Main ST",,"Glencoe","KY","41046",,,"PO Box 102","Glencoe","KY","41046-0102","659-643-5377",,"GALLATIN                 ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","20","0","0","0","true"
"47222","Glendale Fire Department","405 Main ST",,"Glendale","KY","42740",,,"PO Box 55","Glendale","KY","42740","270-369-2019","270-369-2019","HARDIN                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","24","0","0","5","true"
"67960","Gordon Volunteer Fire & Rescue","20 Thorn DR",,"Gordon","KY","41819","20 Thorn DR",,"","Gordon","KY","41819","606-589-6782","606-589-6782","LETCHER                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","18","0","0","15",
"B3588","Gott Volunteer Fire Department","595 Upper Iron Bridge RD",,"Oakland","KY","42159","595 Upper Iron Bridge RD",,"","Oakland","KY","42159-9783","270-842-7855","270-782-4545","WARREN                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","30","0","0","2","false"
"24124","Gracey Fire Department","50 Rail Road ST","PO Box 114","Gracey","KY","42232",,,"PO Box 114","Gracey","KY","42232-0114","270-235-5655",,"CHRISTIAN                ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","1","15","0","0","2",
"89468","Graham Volunteer Fire Department","120 Firehouse LN",,"Graham","KY","42344",,,"PO Box 152","Graham","KY","42344","270-338-5896",,"MUHLENBERG               ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","20","25","0","0","0",
"22107","Grahn Volunteer Fire Department, Inc.","3194 Grahn RD",,"Grahn","KY","41142-0081","3194 Grahn RD",,"PO Box 81","Grahn","KY","41142-0081","606-286-6233","606-286-6662","CARTER                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","18","0","0","0",
"70372","Grand Lakes Fire Department","1021 Jake Duke RD",,"Grand Rivers","KY","42045-9275","1021 Jake Duke RD",,"","Grand Rivers","KY","42045-9275","270-362-4065","270-362-4065","LIVINGSTON               ","Mostly volunteer","Local (includes career, combination, and volunteer)","https://grandlakesfire.com/","3","1","0","39","1","4","true"
"54740","Grapevine Community Volunteer Fire Department","2225 Grapevine RD","PO Box 1122","Madisonville","KY","42431",,,"PO Box 1122","Madisonville","KY","42431-0023","270-821-8860","270-821-6226","HOPKINS                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","27","0","0","4","false"
"97810","Grapevine/Chavies Volunteer Fire Department","1849 KY Highway 28","PO Box 263","Chavies","KY","41727",,,"PO Box 263","Chavies","KY","41727-0263","606-439-3070",,"PERRY                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","30","0","0","6",
"55273","Gray Hawk Volunteer Fire Department","Highway 421",,"Gray Hawk","KY","40434",,,"PO Box 239","Gray Hawk","KY","40434-0239","606-287-7224",,"JACKSON                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","25","0","0","0","false"
"22104","Grayson Fire Department","316 E 3RD ST",,"Grayson","KY","41143","316 E 3RD ST",,"","Grayson","KY","41143-1310","606-474-5444","606-474-0921","CARTER                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","26","0","0","0","false"
"44200","Green County Volunteer Fire & Rescue Department","unknown",,"Greensburg","KY","42743",,,"PO Box 1","Greensburg","KY","42743","270-932-3231","270-932-7424","GREEN                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","36","0","0","0",
"45203","Greenup Fire Department","1110 Walnut ST",,"Greenup","KY","41144","1110 Walnut ST",,"","Greenup","KY","41144","606-473-7233","606-473-7233","GREENUP                  ","Volunteer","Local (includes career, combination, and volunteer)","https://home.alltel.net/gfd1","1","0","20","0","0","0",
"89466","Greenville Fire Department","200 Court ST",,"Greenville","KY","42345","200 Court ST",,"","Greenville","KY","42345","270-338-3305","270-338-3305","MUHLENBERG               ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","5","32","0","0","0",
"98840","Gulnare Volunteer Fire Department","55 Sycamore Mt.  RD","","Pikeville","KY","41501","55 Sycamore Mt.  RD","","","Pikeville","KY","41501","606-432-8502","606-437-3345","PIKE                     ","Volunteer","Local (includes career, combination, and volunteer)","","1","0","15","0","0","15",
"26922","Hacker Volunteer Fire & Rescue","HWY 687","PO Box 434","Manchester","KY","40962","HWY 687","PO Box 434","","Manchester","KY","40962","000-000-0000",,"CLAY                     ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","15","0","0","0",
"B3589","Hadley Volunteer Fire Department","255 Hadley School RD",,"Bowling Green","KY","42101-8253","255 Hadley School RD",,"","Bowling Green","KY","42101-8253","270-842-0973","270-842-0973","WARREN                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","24","0","0","0",
"54265","Hanson Volunteer Fire Department, Inc.","53 Sunset RD",,"Hanson","KY","42413",,,"PO Box 331","Hanson","KY","42413-0331","270-322-8121",,"HOPKINS                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","22","0","0","0","false"
"14057","Hardinsburg Fire Department","PO Box 149",,"Hardinsburg","KY","40143-0149",,,"PO Box 149","Hardinsburg","KY","40143-0149","270-456-1983",,"BRECKINRIDGE             ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","21","0","0","0",
"50240","Hardyville Volunteer Fire Department, Inc.","52 N Jackson HWY",,"Hardyville","KY","42746",,,"PO Box 58","Hardyville","KY","42746-0058","270-528-4835","270-528-4835","HART                     ","Volunteer","Local (includes career, combination, and volunteer)",,"3","0","23","0","0","0","false"
"48231","Harlan Fire Department","114 N Main ST",,"Harlan","KY","40831",,,"PO Box 783","Harlan","KY","40831-0783","606-573-4130","606-573-1690","HARLAN                   ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"2","2","0","14","0","1","false"
"14059","Harned Volunteer Fire & Rescue Department","89 Harned RD",,"Harned","KY","40144",,,"PO Box 117","Harned","KY","40144-0117","270-756-2133","270-756-6321","BRECKINRIDGE             ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","20","0","0","0",
"49238","Harrison County Fire Department","1014 US Highway 62 E",,"Cynthiana","KY","41031-7851","1014 US Highway 62 E",,"","Cynthiana","KY","41031-7851","859-234-4264","859-234-0222","HARRISON                 ","Volunteer","Local (includes career, combination, and volunteer)",,"8","2","598","2","0","0","true"
"56286","Harrods Creek Fire Protection District","8905 US 42",,"Prospect","KY","40059-8837","8905 US 42",,"","Prospect","KY","40059-8837","502-228-1351","502-228-1369","JEFFERSON                ","Career","Local (includes career, combination, and volunteer)","https://hcfd.org/","2","39","0","0","0","1","false"
"84446","Harrodsburg Fire Department","125 W Broadway ST",,"Harrodsburg","KY","40330-1527","125 W Broadway ST",,"","Harrodsburg","KY","40330-1527","859-734-2848","859-734-0025","MERCER                   ","Mostly volunteer","Local (includes career, combination, and volunteer)",,"1","17","16","7","0","0","false"
"92479","Hartford Fire Department","116 E Washington ST","PO Box 102","Hartford","KY","42347","116 E Washington ST",,"PO Box 102","Hartford","KY","42347","270-298-4663",,"OHIO                     ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","17","0","0","0",
"79758","Harvey Brewers Fire Department","5149 Mayfield HWY",,"Benton","KY","42025","5149 Mayfield HWY",,"","Benton","KY","42025","270-529-7770","270-527-7770","MARSHALL                 ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","22","0","0","0",
"98920","Hatfield Volunteer Fire Department, Inc.","8619 N Big Creek RD",,"Hatfield","KY","41514","8619 N Big Creek RD",,"","Hatfield","KY","41514-8808","606-237-0015","606-237-0015","PIKE                     ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","19","0","0","3","true"
"46210","Hawesville Volunteer Fire Department","385 Main ST",,"Hawesville","KY","42348",,,"PO Box 512","Hawesville","KY","42348-0512","270-927-8498","270-927-9889","HANCOCK                  ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","24","0","0","0","false"
"A2916","Hayes Crossing- Haldeman Fire Department","6400 E US 60 HWY E","PO Box 67","Morehead","KY","40351","6400 E US 60 HWY E",,"PO Box 67","Morehead","KY","40351","606-783-1445",,"ROWAN                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","38","0","0","20",
"05697","Haywood Volunteer Fire Department","67 Matthews Mill RD",,"Glasgow","KY","42141","100 Graham RD",,"","Glasgow","KY","42141-8749","270-678-7511","270-678-6672","BARREN                   ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","20","0","0","8","false"
"97499","Hazard Fire Department","50 E Main ST","PO Box 420","Hazard","KY","41701",,,"PO Box 420","Hazard","KY","41702-0420","606-436-2345","606-436-4785","PERRY                    ","Mostly volunteer","Local (includes career, combination, and volunteer)","https://www.cityofhazard.com","2","18","0","23","0","0","false"
"18077","Hazel Fire Department","215 Main","PO Box 141","Hazel","KY","42049-0141",,,"PO Box 141","Hazel","KY","42049-0141","270-492-8872",,"CALLOWAY                 ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","17","0","0","0",
"B8610","Hazel Green Community Volunteer Fire Department","217 HWY 1010 S",,"Hazel Green","KY","41332","380 Wilson Branch RD",,"","Hazel Green","KY","41332-8731","606-662-6605",,"WOLFE                    ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","31","0","0","0",
"51794","Hebbardsville Area Volunteer Fire Department","16756 HWY 416 E",,"Henderson","KY","42420","16756 HWY 416 E",,"","Henderson","KY","42420","270-546-9874","270-546-9874","HENDERSON                ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","16","0","0","0",
